arrival_year,arrival_month,booking_status,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,avg_price_per_room
2018,11,1,0,3,Online,76.08
2018,12,1,1,3,Online,156.9
2018,10,1,1,0,Online,85.5
2018,5,1,1,2,Online,159.3
2018,12,1,0,4,Online,74.8
2017,10,1,0,1,Online,95.0
2017,10,1,0,3,Online,107.0
2018,2,1,0,3,Offline,64.0
2017,11,1,1,4,Online,82.95
2017,9,1,1,3,Online,155.0
2018,6,1,0,1,Online,101.68
2017,9,1,2,1,Online,94.5
2018,9,0,0,2,Online,117.9
2018,6,1,1,0,Online,127.0
2018,6,1,0,3,Online,116.1
2018,6,1,2,3,Online,117.9
2018,6,0,2,2,Online,184.24
2018,8,1,2,2,Online,155.7
2018,4,0,2,5,Online,135.76
2018,11,1,2,5,Online,102.83
2018,4,0,0,1,Online,65.0
2017,11,1,2,3,Online,103.0
2018,9,0,0,3,Online,106.2
2018,9,1,0,2,Offline,58.5
2018,3,0,1,3,Online,73.95
2018,5,1,0,3,Online,105.3
2018,4,1,2,0,Online,133.2
2018,3,1,0,2,Offline,85.5
2018,11,0,0,1,Online,112.0
2018,10,0,0,2,Online,190.8
2018,6,1,2,3,Offline,110.0
2018,7,1,1,4,Online,91.48
2018,10,1,0,2,Online,135.0
2018,10,1,1,2,Online,129.0
2018,12,0,2,4,Online,70.55
2017,10,1,1,4,Offline,75.0
2018,3,1,0,4,Online,72.25
2017,10,1,0,1,Online,155.0
2018,7,0,1,0,Online,121.5
2018,6,1,2,5,Online,90.95
2018,5,1,2,2,Online,109.65
2018,4,0,2,4,Online,142.72
2018,5,1,1,2,Offline,90.0
2018,6,0,0,2,Online,75.0
2018,11,0,0,2,Online,111.0
2018,10,1,2,2,Online,86.7
2018,3,1,1,0,Online,117.9
2018,6,1,0,2,Complementary,0.0
2018,5,1,0,4,Online,101.58
2018,4,1,1,2,Online,58.9
2018,6,1,0,1,Offline,120.0
2018,4,0,2,3,Online,107.1
2018,5,1,1,1,Online,126.9
2018,9,0,0,3,Online,139.5
2018,4,1,1,3,Online,80.75
2017,7,0,0,2,Online,109.0
2018,4,1,0,1,Offline,104.0
2018,11,1,0,3,Corporate,65.0
2018,5,1,0,3,Online,140.4
2018,2,1,0,3,Offline,75.0
2018,4,0,0,1,Online,94.5
2018,6,1,1,0,Online,109.0
2018,11,1,2,2,Online,105.0
2018,4,1,2,2,Online,107.95
2018,10,1,2,2,Online,215.6
2018,8,1,1,1,Online,85.5
2018,7,1,0,2,Online,105.3
2018,1,1,2,1,Online,1.0
2018,6,0,0,2,Online,156.0
2018,11,1,0,2,Online,73.15
2018,9,0,1,2,Online,110.0
2017,9,1,1,0,Online,87.4
2018,9,0,0,2,Online,120.0
2018,12,0,1,2,Online,79.2
2018,6,1,1,3,Online,90.95
2018,10,1,0,4,Online,91.48
2018,11,0,0,1,Online,150.0
2018,3,1,0,1,Online,89.0
2018,8,1,1,4,Online,91.43
2018,5,1,0,2,Offline,140.0
2017,10,1,2,5,Online,87.78
2018,7,0,0,2,Online,115.0
2017,9,1,0,3,Online,80.85
2018,3,1,1,3,Online,82.45
2018,10,0,0,1,Online,108.0
2018,4,1,1,1,Online,96.3
2018,8,0,1,5,Online,99.45
2018,5,1,0,2,Online,140.4
2018,8,1,1,3,Offline,72.25
2018,8,1,1,4,Online,126.0
2018,8,0,2,3,Online,78.0
2018,11,1,2,2,Online,146.6
2018,10,0,1,2,Online,118.8
2018,10,0,0,1,Online,145.0
2018,4,0,0,4,Online,84.58
2018,3,0,1,2,Online,130.0
2018,8,0,4,10,Online,118.88
2018,5,1,1,2,Offline,101.52
2017,9,0,0,1,Corporate,100.0
2018,3,1,2,1,Offline,58.0
2018,3,1,0,4,Offline,61.5
2018,9,0,1,2,Online,107.0
2018,8,1,1,4,Online,87.3
2017,7,0,0,2,Online,76.5
2018,12,0,2,2,Online,63.75
2018,5,0,1,2,Online,95.0
2018,11,1,2,1,Offline,75.0
2018,9,0,0,3,Online,70.0
2018,5,1,1,3,Online,101.58
2018,8,1,2,3,Offline,85.0
2018,12,1,2,4,Online,98.39
2018,2,1,0,0,Complementary,0.0
2017,9,1,0,3,Online,106.07
2018,7,1,1,1,Offline,105.0
2017,9,1,0,1,Online,145.0
2018,8,0,2,1,Online,106.03
2018,8,1,2,2,Online,114.3
2018,12,1,1,1,Online,88.0
2017,10,1,0,2,Online,89.25
2018,3,1,2,5,Online,86.32
2018,10,1,0,3,Offline,90.0
2017,8,1,2,5,Online,55.96
2018,6,1,0,2,Online,109.0
2018,3,1,0,1,Offline,86.0
2018,9,1,1,5,Online,118.95
2018,6,1,0,2,Offline,130.0
2018,4,1,1,3,Online,90.56
2018,4,1,0,2,Online,87.3
2018,5,0,2,2,Online,177.65
2017,9,1,2,2,Online,200.75
2018,3,1,0,2,Online,127.0
2018,2,0,1,2,Online,72.9
2018,5,0,1,1,Online,159.3
2018,5,1,1,3,Online,135.15
2018,10,1,0,2,Offline,90.0
2017,10,1,1,0,Online,114.0
2018,6,1,0,1,Online,125.1
2017,8,1,2,6,Online,95.13
2018,4,0,0,2,Online,105.84
2018,12,0,1,3,Online,102.0
2018,12,1,2,2,Online,74.8
2018,4,0,1,0,Online,94.5
2018,6,1,2,4,Online,120.6
2017,10,1,1,2,Online,139.33
2017,9,1,0,2,Online,105.0
2018,9,1,0,2,Corporate,100.0
2018,2,1,1,0,Online,80.3
2017,10,1,0,2,Offline,100.0
2018,3,1,0,3,Online,105.3
2018,5,0,0,4,Online,112.8
2018,8,0,1,2,Online,151.0
2017,11,1,1,3,Online,91.0
2018,8,0,2,1,Online,146.7
2017,10,1,2,3,Offline,58.4
2018,7,0,0,4,Online,80.75
2018,5,1,1,1,Offline,76.5
2018,9,1,0,3,Online,140.13
2017,11,1,2,4,Online,76.0
2017,9,1,0,1,Online,200.0
2017,10,0,0,2,Online,101.5
2018,10,1,0,3,Online,108.0
2018,7,1,2,3,Online,189.0
2018,6,1,1,1,Online,166.0
2018,1,1,1,1,Online,67.5
2017,9,1,1,3,Online,78.54
2018,11,0,2,2,Online,152.1
2018,10,0,2,1,Online,115.0
2017,9,1,2,5,Online,66.53
2017,8,1,0,2,Complementary,0.0
2017,8,1,2,1,Complementary,0.0
2018,12,0,0,3,Online,90.3
2018,4,1,0,2,Offline,85.0
2018,3,1,0,1,Corporate,75.0
2018,8,0,2,4,Online,115.37
2018,3,0,1,2,Online,130.0
2018,12,1,0,2,Online,126.0
2018,6,1,1,0,Online,94.35
2018,7,1,2,4,Online,118.46
2018,6,0,0,2,Online,90.6
2018,3,1,2,1,Online,82.9
2017,8,1,0,3,Online,95.33
2018,4,1,2,5,Online,135.64
2018,6,1,1,1,Offline,122.4
2018,5,0,1,3,Online,116.1
2018,6,0,0,4,Online,62.18
2018,3,0,0,4,Online,63.75
2018,9,0,1,4,Online,118.8
2018,8,1,0,2,Online,167.0
2018,5,1,2,2,Online,187.85
2018,4,0,2,2,Online,108.38
2018,9,1,0,1,Complementary,0.0
2018,10,0,1,2,Online,128.7
2018,3,1,1,3,Online,80.33
2018,8,0,1,1,Online,140.0
2017,8,1,1,1,Online,76.5
2018,5,1,2,1,Online,105.3
2018,4,0,2,1,Online,87.3
2018,11,0,0,3,Online,110.0
2017,9,1,0,1,Offline,83.0
2018,8,1,2,2,Online,99.45
2017,12,1,2,1,Offline,104.5
2018,11,1,2,6,Online,92.54
2018,10,1,0,3,Offline,95.0
2018,6,0,0,2,Online,130.0
2018,1,1,2,1,Offline,63.0
2018,10,0,1,2,Online,109.8
2018,5,1,1,0,Online,103.0
2018,2,1,2,1,Online,130.0
2018,3,0,0,2,Online,117.0
2017,12,1,0,4,Offline,60.5
2017,9,1,0,1,Offline,112.2
2018,8,0,1,3,Online,135.9
2018,7,0,1,0,Online,151.0
2018,9,1,0,2,Online,239.0
2017,12,1,2,1,Online,59.09
2018,7,0,2,5,Online,103.09
2018,2,1,2,1,Offline,87.0
2018,4,0,1,0,Online,137.0
2018,6,1,0,2,Offline,109.0
2018,6,0,1,1,Online,115.0
2018,7,1,2,3,Online,99.45
2018,8,0,0,2,Online,115.0
2018,2,1,1,2,Online,130.0
2018,5,1,1,0,Corporate,65.0
2018,6,0,0,2,Online,75.0
2018,7,0,1,2,Online,132.9
2017,10,1,2,0,Online,120.0
2018,11,0,0,2,Online,79.2
2018,8,0,2,1,Online,159.3
2018,6,0,0,2,Online,130.0
2017,10,1,0,3,Offline,90.0
2018,5,1,0,2,Online,140.4
2017,8,1,0,1,Online,75.0
2017,7,0,0,2,Online,109.0
2017,7,0,2,1,Online,94.5
2017,12,1,0,1,Corporate,75.0
2017,10,1,1,2,Offline,75.0
2017,10,1,2,1,Offline,76.67
2018,10,1,2,2,Online,126.0
2018,7,1,1,1,Online,85.5
2018,8,0,0,3,Online,140.7
2018,6,1,2,2,Online,103.7
2017,9,1,0,1,Online,142.0
2018,12,1,2,5,Online,103.7
2018,6,1,1,2,Offline,110.0
2018,11,1,0,3,Offline,75.0
2018,7,1,1,1,Online,137.7
2018,9,1,0,1,Online,87.3
2018,8,1,0,2,Complementary,0.0
2017,8,1,0,2,Offline,101.5
2018,2,1,0,1,Online,97.0
2018,8,1,1,1,Online,150.3
2018,3,1,0,4,Online,82.45
2018,7,1,0,1,Corporate,103.0
2018,7,0,2,6,Online,145.0
2018,7,1,1,1,Online,145.0
2018,5,1,2,2,Online,134.85
2018,10,1,1,1,Online,168.25
2018,2,0,2,1,Online,60.0
2018,6,1,1,3,Offline,76.0
2017,8,1,1,2,Offline,63.5
2018,9,1,2,0,Offline,95.0
2018,9,1,2,2,Offline,90.95
2017,10,1,0,2,Online,98.4
2018,9,1,0,1,Online,135.9
2018,11,1,0,2,Online,130.0
2017,11,1,0,1,Online,81.9
2018,2,1,1,4,Online,78.85
2018,6,0,2,3,Online,141.3
2018,4,1,1,1,Offline,70.0
2018,8,1,2,3,Online,170.1
2018,10,0,2,0,Online,115.0
2017,12,1,0,5,Online,199.0
2018,7,1,2,2,Offline,82.45
2018,10,1,0,3,Online,192.86
2017,9,1,2,2,Offline,185.0
2018,12,1,2,6,Online,68.07
2018,10,1,0,3,Online,118.8
2018,10,0,0,2,Online,104.4
2018,3,1,0,1,Corporate,65.0
2018,3,0,1,3,Online,71.1
2018,5,1,2,1,Offline,95.0
2018,9,0,4,11,Online,116.62
2018,9,1,0,4,Online,136.0
2018,12,0,2,2,Online,147.9
2018,9,1,2,0,Offline,123.7
2018,6,0,2,1,Online,135.9
2017,10,1,0,2,Offline,109.0
2018,3,1,2,1,Online,186.0
2018,12,0,1,3,Online,115.6
2018,5,0,0,1,Online,221.0
2017,9,1,0,3,Corporate,65.0
2018,2,1,0,1,Corporate,80.0
2018,3,1,1,4,Offline,73.83
2018,10,1,0,1,Corporate,67.0
2018,3,1,0,2,Online,80.3
2018,4,1,2,1,Offline,85.0
2018,7,0,2,3,Online,152.1
2017,9,1,0,2,Online,89.25
2018,9,1,0,4,Offline,110.0
2018,5,0,1,2,Online,95.0
2018,3,1,0,1,Online,79.0
2018,8,0,0,1,Online,80.0
2018,10,0,2,2,Online,102.85
2018,9,0,1,2,Online,90.0
2018,1,1,1,2,Online,62.37
2018,4,1,0,1,Online,98.0
2017,9,0,0,3,Online,117.67
2018,6,1,2,1,Online,141.0
2018,12,0,1,3,Online,156.61
2018,8,0,0,3,Online,152.1
2018,8,0,0,1,Online,105.3
2018,5,1,1,3,Online,119.85
2018,11,1,0,2,Online,97.2
2018,5,1,0,1,Online,116.1
2018,5,0,2,2,Online,150.45
2018,1,1,0,1,Offline,71.0
2018,6,1,1,0,Complementary,0.0
2017,12,1,1,2,Offline,60.0
2018,4,1,0,1,Corporate,89.0
2018,10,0,2,0,Online,115.0
2018,5,1,1,1,Offline,100.0
2018,11,0,1,3,Online,75.9
2017,10,1,1,2,Offline,65.0
2018,5,1,2,2,Online,104.55
2018,10,0,2,2,Online,115.0
2018,7,0,1,1,Online,187.0
2018,8,1,0,1,Online,115.0
2018,9,0,0,4,Online,84.43
2018,4,0,2,3,Online,90.95
2018,3,1,1,3,Online,208.0
2018,9,0,2,4,Online,97.18
2017,10,1,0,4,Offline,79.11
2018,5,1,0,2,Complementary,0.0
2017,9,1,0,1,Online,120.0
2017,10,1,0,3,Online,126.0
2018,2,0,0,2,Online,91.0
2018,9,0,0,5,Online,137.0
2018,3,1,0,4,Offline,67.32
2017,10,1,0,1,Online,81.62
2018,10,1,1,3,Online,123.66
2018,8,1,2,1,Online,94.5
2018,8,0,1,4,Online,96.3
2018,8,1,2,1,Online,88.01
2018,3,1,1,3,Online,81.9
2018,5,1,0,4,Online,119.85
2017,10,1,0,1,Offline,83.5
2018,4,1,0,1,Corporate,67.0
2018,6,1,2,2,Online,156.0
2017,10,1,0,1,Offline,85.0
2018,4,0,3,5,Online,126.75
2018,6,0,1,1,Online,115.0
2018,10,0,2,1,Online,107.1
2018,10,1,0,1,Offline,120.0
2018,11,1,2,1,Online,93.6
2018,6,1,0,1,Offline,120.0
2018,6,1,0,1,Offline,90.0
2018,9,0,0,5,Online,137.0
2018,10,0,1,3,Online,106.43
2018,5,1,0,3,Online,87.78
2017,9,1,0,2,Offline,101.5
2018,6,0,0,1,Online,85.5
2018,10,1,0,3,Offline,95.0
2018,7,1,2,2,Online,103.7
2017,8,1,0,1,Corporate,65.0
2018,8,0,2,6,Online,100.12
2018,4,1,1,3,Online,156.25
2018,5,0,1,2,Online,101.0
2018,7,1,1,3,Online,161.1
2018,12,1,1,3,Online,83.8
2018,6,1,0,1,Online,168.0
2017,12,1,2,1,Offline,58.0
2017,8,1,2,1,Offline,94.5
2017,12,1,0,4,Online,96.3
2017,8,1,0,1,Online,76.5
2018,4,1,2,3,Offline,78.0
2018,9,0,1,1,Online,112.59
2018,6,0,2,1,Online,187.04
2018,10,1,0,1,Online,169.0
2018,12,1,3,7,Online,46.63
2018,8,1,0,3,Offline,100.0
2018,10,1,0,3,Online,85.5
2018,6,0,0,2,Online,130.0
2018,7,1,2,2,Online,146.7
2017,11,1,0,2,Offline,73.0
2018,4,1,2,2,Online,143.22
2017,10,1,0,3,Online,89.25
2018,9,1,1,0,Offline,85.0
2018,2,1,2,0,Complementary,6.5
2018,3,0,0,1,Online,83.03
2018,2,0,1,3,Online,91.0
2018,4,1,2,2,Online,80.75
2018,11,0,1,2,Online,89.0
2018,10,1,0,3,Offline,105.0
2018,4,1,2,5,Online,109.81
2018,12,1,1,3,Online,70.88
2018,11,1,0,2,Online,83.6
2018,2,0,2,1,Online,60.0
2018,6,0,0,3,Online,130.0
2018,4,1,1,1,Online,95.0
2018,4,1,0,1,Offline,104.0
2018,2,1,0,3,Offline,62.0
2018,4,1,2,1,Offline,95.0
2018,2,1,2,1,Online,145.0
2018,10,1,1,0,Corporate,95.0
2018,6,1,0,2,Offline,95.0
2018,6,1,2,4,Offline,80.75
2018,8,1,0,4,Online,142.2
2018,10,0,2,3,Online,128.7
2018,3,1,2,3,Online,90.95
2018,11,1,1,2,Online,93.6
2017,11,1,1,2,Offline,60.0
2018,8,1,0,3,Offline,90.0
2017,12,1,2,1,Online,95.4
2018,10,0,0,2,Online,160.0
2018,10,0,2,1,Online,104.1
2018,4,1,0,1,Offline,104.0
2018,8,1,0,4,Offline,109.0
2018,4,0,2,4,Online,93.78
2017,10,1,0,2,Corporate,95.0
2018,10,1,0,1,Online,140.0
2017,12,1,1,3,Online,87.0
2018,3,1,2,1,Online,85.85
2018,3,1,1,3,Online,99.45
2018,5,1,0,4,Online,120.28
2018,6,1,0,3,Offline,120.0
2018,4,1,2,0,Online,77.77
2018,6,1,0,3,Offline,120.0
2018,6,1,0,1,Online,116.1
2018,7,0,0,1,Online,189.0
2018,6,0,2,1,Online,152.67
2018,2,1,2,3,Online,66.31
2017,9,1,0,1,Online,95.0
2018,12,0,0,3,Online,122.0
2017,12,1,0,3,Offline,58.0
2018,12,1,1,3,Online,89.89
2018,6,1,0,2,Online,156.0
2018,3,1,1,3,Online,99.45
2018,8,0,0,2,Online,172.8
2018,8,1,1,3,Online,98.56
2018,3,0,0,1,Online,71.1
2018,3,0,6,15,Online,128.06
2018,11,1,0,1,Complementary,0.0
2018,4,1,0,1,Online,106.0
2018,9,0,0,4,Online,130.61
2018,6,1,2,3,Online,105.74
2018,6,1,0,2,Online,136.0
2018,6,1,0,1,Offline,120.0
2018,12,1,2,2,Online,74.8
2018,6,0,0,2,Online,112.0
2018,8,1,1,0,Online,121.5
2017,10,1,0,4,Offline,70.0
2018,11,1,0,1,Offline,75.0
2018,1,1,0,1,Offline,54.0
2018,3,0,1,2,Online,100.0
2018,4,1,0,1,Complementary,0.0
2018,11,0,4,9,Online,186.22
2018,11,1,2,0,Online,79.2
2018,3,1,1,1,Online,103.0
2017,9,1,2,2,Offline,185.0
2017,10,1,0,2,Online,135.0
2018,10,0,2,0,Online,115.0
2017,7,0,0,2,Online,109.0
2018,11,0,0,1,Online,104.0
2018,8,1,2,5,Online,130.05
2018,9,0,1,3,Online,100.3
2018,6,0,0,2,Online,130.0
2017,10,1,0,2,Offline,109.0
2018,10,0,2,2,Online,139.5
2018,2,1,0,1,Corporate,66.0
2018,9,1,2,2,Online,106.88
2018,9,1,2,2,Online,149.4
2018,4,1,0,2,Online,109.35
2018,11,0,0,3,Online,89.0
2018,4,1,2,1,Online,115.0
2018,3,1,0,1,Corporate,85.5
2018,4,1,0,2,Online,90.95
2018,7,1,2,1,Online,117.55
2018,10,0,0,1,Online,108.0
2018,10,1,0,3,Online,139.5
2018,9,0,0,3,Online,129.88
2017,12,1,1,4,Offline,67.0
2018,10,0,1,1,Online,129.0
2018,6,0,2,5,Online,79.53
2018,8,1,1,3,Offline,72.25
2017,7,1,0,2,Offline,80.0
2018,6,1,2,5,Online,119.85
2017,11,1,1,2,Online,117.0
2017,9,1,2,2,Complementary,29.0
2018,9,1,2,2,Online,118.8
2018,12,1,0,2,Offline,192.03
2018,5,1,0,1,Online,168.3
2018,5,1,0,1,Online,72.76
2018,12,1,0,3,Offline,68.0
2018,1,1,0,4,Online,89.0
2018,8,1,2,5,Online,124.46
2018,3,1,2,1,Corporate,70.33
2018,6,1,1,4,Online,170.1
2018,6,0,0,2,Online,75.0
2018,6,1,0,3,Online,125.25
2017,7,1,3,7,Online,55.9
2018,6,0,1,2,Online,126.9
2018,2,0,0,2,Online,79.0
2018,10,0,2,3,Online,94.35
2018,6,0,0,2,Online,109.0
2018,4,1,2,3,Online,112.2
2017,10,1,0,1,Corporate,109.0
2018,9,1,0,2,Corporate,65.0
2018,4,1,1,3,Offline,90.0
2018,7,1,0,3,Offline,85.0
2018,12,1,0,4,Online,168.73
2018,12,1,1,3,Online,100.38
2018,7,0,2,5,Online,99.45
2018,9,1,0,1,Corporate,160.0
2018,10,1,2,1,Online,126.0
2018,8,1,1,2,Offline,96.9
2017,10,1,2,4,Online,95.0
2017,9,1,2,1,Online,94.5
2017,9,1,1,1,Offline,98.8
2018,7,1,2,1,Online,100.5
2018,6,1,1,0,Complementary,0.0
2018,5,0,2,1,Online,80.75
2018,4,1,0,1,Offline,104.0
2018,4,1,1,2,Offline,89.75
2017,8,1,0,2,Online,156.0
2018,6,1,1,1,Online,136.0
2018,12,1,0,2,Corporate,85.0
2017,10,1,0,4,Online,87.54
2017,9,1,0,2,Corporate,100.0
2018,10,0,2,2,Online,108.9
2018,6,1,0,3,Online,107.1
2018,4,0,1,2,Online,80.0
2018,5,0,0,3,Online,90.0
2018,5,1,0,2,Online,105.3
2018,2,1,0,1,Online,80.0
2018,8,1,0,2,Online,142.2
2018,4,1,0,3,Online,131.4
2018,6,1,0,2,Offline,95.0
2018,4,0,0,2,Online,111.0
2018,10,1,1,3,Offline,85.0
2018,8,0,0,4,Online,130.95
2017,9,1,0,2,Offline,101.5
2018,2,1,2,1,Offline,82.0
2017,9,1,2,2,Online,94.5
2018,8,0,2,1,Online,109.8
2018,7,0,2,4,Online,72.25
2018,2,1,2,2,Online,55.72
2018,10,0,1,1,Online,158.4
2018,3,1,1,4,Offline,69.0
2018,10,1,0,3,Offline,105.0
2018,12,0,0,3,Online,219.6
2018,1,1,2,3,Offline,44.8
2018,10,1,0,1,Online,120.0
2018,3,0,1,2,Online,100.0
2018,6,1,0,1,Online,109.0
2018,8,1,1,2,Online,115.68
2018,9,1,1,2,Offline,75.0
2018,6,1,0,2,Offline,134.1
2018,5,1,2,1,Online,124.1
2018,8,1,0,2,Online,214.75
2018,10,1,1,2,Offline,75.0
2017,11,1,1,2,Online,72.25
2018,3,1,1,0,Corporate,80.0
2018,9,1,0,1,Online,139.0
2018,1,1,0,1,Corporate,66.0
2018,5,1,0,3,Online,115.5
2018,8,1,1,1,Online,195.5
2018,10,0,2,0,Online,115.0
2017,9,1,0,1,Offline,84.0
2018,10,1,2,1,Online,107.8
2018,10,1,0,3,Offline,105.0
2018,4,1,2,3,Offline,78.0
2018,6,1,0,2,Offline,90.0
2018,7,0,1,1,Online,105.3
2018,2,1,0,3,Online,80.3
2018,2,1,1,0,Online,129.0
2018,6,0,0,2,Online,115.0
2018,9,1,2,0,Online,125.1
2018,2,1,0,1,Online,103.0
2018,5,1,2,0,Online,125.1
2018,6,0,2,5,Online,96.17
2017,9,1,2,2,Offline,185.0
2018,6,1,2,0,Online,69.74
2018,7,0,2,3,Online,172.55
2018,1,1,0,3,Online,95.0
2018,9,1,1,2,Online,166.35
2018,11,1,0,1,Online,108.0
2018,3,1,1,3,Online,102.0
2018,5,1,1,2,Online,203.73
2018,11,0,2,5,Online,78.69
2018,11,0,0,3,Online,79.2
2018,3,1,0,2,Online,76.5
2018,6,0,0,2,Online,100.0
2018,12,1,0,4,Online,88.4
2018,7,0,2,4,Online,110.0
2018,10,0,1,2,Online,109.8
2018,12,1,2,1,Offline,78.3
2017,7,0,0,2,Online,101.5
2018,7,1,2,4,Online,80.75
2018,12,1,2,2,Online,104.0
2018,3,1,0,3,Online,51.19
2018,11,0,0,1,Online,150.0
2018,8,0,1,2,Online,127.8
2017,9,1,0,1,Online,115.0
2018,5,1,0,1,Online,156.0
2018,12,0,2,2,Online,130.9
2018,10,0,0,3,Online,116.1
2018,9,1,2,0,Online,71.69
2018,4,1,2,3,Offline,98.5
2018,7,1,0,3,Online,94.5
2018,6,0,0,2,Online,130.0
2017,7,0,2,1,Online,76.5
2018,8,0,0,4,Online,90.95
2017,10,1,1,3,Offline,72.75
2018,11,1,0,1,Online,93.0
2018,9,1,0,2,Online,168.3
2018,10,1,0,3,Offline,75.0
2017,8,1,1,0,Online,105.0
2018,2,1,2,0,Online,78.5
2018,7,0,2,5,Online,119.7
2018,9,0,0,3,Online,168.3
2018,5,1,0,1,Online,197.0
2017,10,1,2,0,Offline,91.0
2018,2,1,2,3,Offline,85.0
2018,2,0,2,2,Online,81.0
2017,9,1,0,2,Offline,116.0
2018,8,0,0,2,Online,115.0
2018,2,1,1,3,Online,106.0
2018,4,0,2,1,Online,118.8
2018,10,0,0,3,Online,132.3
2018,8,1,1,0,Online,146.7
2018,3,1,0,3,Online,86.8
2018,11,1,0,4,Offline,98.0
2018,5,1,1,1,Offline,100.0
2018,8,0,4,10,Online,158.95
2018,9,1,2,2,Online,119.52
2018,5,1,0,3,Offline,117.0
2018,4,0,0,3,Online,140.67
2017,10,1,2,3,Online,94.95
2018,5,0,2,5,Online,109.65
2018,12,1,1,2,Online,120.0
2018,3,1,1,2,Online,67.22
2018,3,1,0,3,Offline,62.0
2018,3,1,0,1,Online,91.0
2018,3,1,2,4,Offline,68.0
2018,11,0,0,3,Online,89.0
2017,8,1,2,1,Offline,94.5
2018,8,0,1,2,Online,187.0
2018,12,1,0,4,Offline,122.65
2018,2,1,0,1,Corporate,68.0
2018,3,0,1,1,Online,131.4
2018,4,0,2,3,Online,149.4
2018,5,1,0,2,Corporate,100.0
2018,6,0,1,1,Online,115.0
2018,10,1,0,3,Online,160.0
2018,4,1,2,1,Online,127.67
2018,12,1,0,3,Online,79.2
2017,12,1,0,2,Online,69.0
2018,9,0,0,4,Online,117.0
2017,10,0,1,1,Online,70.0
